,"Ip","Protocol","Src Port","Dst Port","Seq","Ack","Len"
"262","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,77747,0
"263","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,77747,1027,1399
"264","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,79146,0
"265","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,81981,0
"266","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,79146,1027,2835
"267","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,81981,1027,1362
"268","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,83343,0
"269","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,83343,1027,1436
"270","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,84779,0
"271","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,84779,1027,1362
"272","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,86141,0
"273","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,86141,1027,1399
"274","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,87540,0
"275","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,87540,1027,1399
"276","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,88939,0
"277","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,88939,1027,1399
"278","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,90338,0
"279","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,90338,1027,1399
"280","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,91737,0
"281","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,91737,1027,1436
"282","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,93173,0
"283","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,93173,1027,1362
"284","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,94535,0
"285","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,94535,1027,2872
"286","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,97407,0
"287","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,97407,1027,1101
"288","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,98508,0
"289","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,98508,1027,1399
"290","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,99907,0
"291","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,99907,1027,1399
"292","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,101306,0
"293","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,101306,1027,1399
"294","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,102705,0
"295","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,102705,1027,1399
"296","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,104104,0
"297","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,104104,1027,2798
"298","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,106902,0
"299","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,106902,1027,2872
"300","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,109774,0
"301","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,109774,1027,2724
